time,temp
0,72.11278534
0.5,72.13423157
1,72.13423157
1.5,72.12351227
2,72.11278534
2.5,72.11278534
3,72.12351227
3.5,72.11278534
4,72.08061218
4.5,72.0377121
5,72.01625824
5.5,71.96263123
6,71.85538483
6.5,71.72668457
7,71.59797668
7.5,71.41565704
8,71.20114899
8.5,70.94374847
9,70.72924805
9.5,70.53619385
10,70.35386658
10.5,70.15009308
11,69.91413879
11.5,69.68891144
12,69.43151093
12.5,69.17411041
13,68.91670227
13.5,68.63785553
14,68.326828
14.5,67.98361969
15,67.60824585
15.5,67.21141815
16,66.84676361
16.5,66.42848206
17,66.02092743
17.5,65.6026535
18,65.17364502
18.5,64.72319031
19,64.31563568
19.5,63.84373474
20,63.41473389
20.5,62.99645233
21,62.55672455
21.5,62.11699677
22,61.6450882
22.5,61.18390656
23,60.71200562
23.5,60.2615509
24,59.85399628
24.5,59.43572235
25,58.96381378
25.5,58.50263214
26,58.04145813
26.5,57.54810333
27,57.02257538
27.5,56.51849365
28,55.98223877
28.5,55.48888397
29,54.99552917
29.5,54.50217438
30,54.00881958
30.5,53.51546478
31,53.06501007
31.5,52.62528229
32,52.20700073
32.5,51.76727295
33,51.35971832
33.5,50.96289063
34,50.555336
34.5,50.17996216
35,49.79385376
35.5,49.43992615
36,49.06455231
36.5,48.72134399
37,48.38887024
37.5,48.04566193
38,47.75608826
38.5,47.44506073
39,47.12330627
39.5,46.80155182
40,46.50125122
40.5,46.22239685
41,45.94355011
41.5,45.67542267
42,45.42874146
42.5,45.16061401
43,44.9032135
43.5,44.65653229
44,44.44203186
44.5,44.2168045
45,44.01303101
45.5,43.81997681
46,43.59474945
46.5,43.43387604
47,43.23009491
47.5,43.07994843
48,42.88689423
48.5,42.74746704
49,42.58659363
49.5,42.45789337
50,42.31846619
50.5,42.20048523
51,42.0825119
51.5,41.96453857
52,41.82511139
52.5,41.72858429
53,41.61060333
53.5,41.52480316
54,41.40682983
54.5,41.32102966
55,41.23522949
55.5,41.16015625
56,41.06362915
56.5,40.98854828
57,40.91347504
57.5,40.83840179
58,40.78477478
58.5,40.72042084
59,40.6453476
59.5,40.60244751
60,40.52737427
60.5,40.48447418
61,40.4415741
61.5,40.37722015
62,40.33432007
62.5,40.32359314
63,40.25924683
63.5,40.20561981
64,40.16271973
64.5,40.14126587
65,40.09836578
65.5,40.08764648
66,40.0447464
66.5,40.00183868
67,39.99111938
67.5,39.96966553
68,39.92676544
68.5,39.90531921
69,39.87313843
69.5,39.84096527
70,39.83023834
70.5,39.80879211
71,39.78733826
71.5,39.76589203
72,39.7551651
72.5,39.69081116
73,39.69081116
73.5,39.658638
74,39.658638
74.5,39.62646484
75,39.59429169
75.5,39.59429169
76,39.57283783
76.5,39.5621109
77,39.54066467
77.5,39.54066467
78,39.52993774
78.5,39.54066467
79,39.51921082
79.5,39.52993774
80,39.50849152
80.5,39.50849152
81,39.50849152
81.5,39.49776459
82,39.47631073
82.5,39.47631073
83,39.4548645
83.5,39.4548645
84,39.41196442
84.5,39.42268372
85,39.41196442
85.5,39.40123749
86,39.39051056
86.5,39.37978363
87,39.36906433
87.5,39.34761047
88,39.3583374
88.5,39.34761047
89,39.34761047
89.5,39.33688354
90,39.3583374
90.5,39.32616425
91,39.33688354
91.5,39.31543732
92,39.29398346
92.5,39.2618103
93,39.25108337
93.5,39.24036407
94,39.20818329
94.5,39.20818329
95,39.18673706
95.5,39.18673706
96,39.15455627
96.5,39.1652832
97,39.14383698
97.5,39.15455627
98,39.12238312
98.5,39.12238312
99,39.09020996
99.5,39.10093689
100,39.11165619
100.5,39.09020996
101,39.10093689
101.5,39.10093689
102,39.09020996
102.5,39.0580368
103,39.07948303
103.5,39.03658295
104,39.04730988
104.5,39.02585602
105,39.00440979
105.5,39.00440979
106,38.97223663
106.5,38.99368286
107,38.97223663
107.5,38.9615097
108,38.95078278
108.5,38.94005585
109,38.94005585
109.5,38.91860962
110,38.89715576
110.5,38.89715576
111,38.89715576
111.5,38.88642883
112,38.88642883
112.5,38.8649826
113,38.85425568
113.5,38.83280945
114,38.84352875
114.5,38.82208252
115,38.82208252
115.5,38.82208252
116,38.78990936
116.5,38.80062866
117,38.80062866
117.5,38.78990936
118,38.78990936
118.5,38.76845551
119,38.78990936
119.5,38.75772858
120,38.76845551
120.5,38.76845551
121,38.75772858
121.5,38.75772858
122,38.74700928
122.5,38.74700928
123,38.74700928
123.5,38.73628235
124,38.72555542
124.5,38.72555542
125,38.74700928
125.5,38.71482849
126,38.70410919
126.5,38.71482849
127,38.72555542
127.5,38.70410919
128,38.68265533
128.5,38.69338226
129,38.68265533
129.5,38.68265533
130,38.69338226
130.5,38.66120148
131,38.66120148
131.5,38.63975525
132,38.63975525
132.5,38.65048218
133,38.61830139
133.5,38.60758209
134,38.59685516
134.5,38.59685516
135,38.58612823
135.5,38.59685516
136,38.56468201
136.5,38.57540131
137,38.57540131
137.5,38.55395508
138,38.53250122
138.5,38.52178192
139,38.50032806
139.5,38.51105499
140,38.47888184
140.5,38.46815491
141,38.43598175
141.5,38.40380096
142,38.40380096
142.5,38.40380096
143,38.39307404
143.5,38.39307404
144,38.38235474
144.5,38.38235474
145,38.37162781
145.5,38.35017395
146,38.33945465
146.5,38.33945465
147,38.30727386
147.5,38.29655457
148,38.28582764
148.5,38.27510071
149,38.27510071
149.5,38.26437378
150,38.24292755
150.5,38.23220062
151,38.20002747
151.5,38.17857361
152,38.18930054
152.5,38.17857361
153,38.15712738
153.5,38.14640045
154,38.13567352
154.5,38.11422729
155,38.09277344
155.5,38.07132721
156,38.07132721
156.5,38.06060028
157,38.06060028
157.5,38.03914642
158,38.0177002
158.5,38.0177002
159,37.98552704
159.5,37.98552704
160,37.96407318
160.5,37.95334625
161,37.93190002
161.5,37.93190002
162,37.89972687
162.5,37.88899994
163,37.87827301
163.5,37.85681915
164,37.84609985
164.5,37.80319977
165,37.80319977
165.5,37.79247284
166,37.79247284
166.5,37.77101898
167,37.73884583
167.5,37.73884583
168,37.7281189
168.5,37.7173996
169,37.69594574
169.5,37.68521881
170,37.68521881
170.5,37.65304565
171,37.6208725
171.5,37.6208725
172,37.59941864
172.5,37.56724548
173,37.57797241
173.5,37.54579163
174,37.54579163
174.5,37.53507233
175,37.51361847
175.5,37.51361847
176,37.49217224
176.5,37.49217224
177,37.45999146
177.5,37.43854523
178,37.41709137
178.5,37.41709137
179,37.38491821
179.5,37.38491821
180,37.35274506
180.5,37.34201813
181,37.32056427
181.5,37.28839111
182,37.26694489
182.5,37.25621796
183,37.24549103
183.5,37.2347641
184,37.21331787
184.5,37.21331787
185,37.14896393
185.5,37.17041779
186,37.17041779
186.5,37.13824463
187,37.10606384
187.5,37.10606384
188,37.06316376
188.5,37.07389069
189,37.05243683
189.5,37.02026367
190,36.98809052
190.5,36.96663666
191,36.96663666
191.5,36.96663666
192,36.92373657
192.5,36.92373657
193,36.90229034
193.5,36.90229034
194,36.85939026
194.5,36.84866333
195,36.8272171
195.5,36.80576324
196,36.81649017
196.5,36.78430939
197,36.77359009
197.5,36.75213623
198,36.73069
198.5,36.69850922
199,36.67706299
199.5,36.64488983
200,36.64488983
200.5,36.62343597
201,36.60198975
201.5,36.59126282
202,36.55908966
202.5,36.55908966
203,36.52690887
203.5,36.50546265
204,36.49473572
204.5,36.47328186
205,36.45183563
205.5,36.41966248
206,36.37676239
206.5,36.36603546
207,36.36603546
207.5,36.3445816
208,36.30168152
208.5,36.30168152
209,36.28023529
209.5,36.2480545
210,36.23733521
210.5,36.22660828
211,36.22660828
211.5,36.17298126
212,36.15153503
212.5,36.16225433
213,36.14080811
213.5,36.11935425
214,36.08718109
214.5,36.09790802
215,36.05500793
215.5,36.04428101
216,36.04428101
216.5,35.99065399
217,36.02283478
217.5,36.00138092
218,35.99065399
218.5,35.95848083
219,35.93702698
219.5,35.94775391
220,35.92630768
220.5,35.94775391
221,35.92630768
221.5,35.89412689
222,35.89412689
222.5,35.88340759
223,35.86195374
223.5,35.85122681
224,35.85122681
224.5,35.82978058
225,35.84050751
225.5,35.79760742
226,35.80832672
226.5,35.81905365
227,35.80832672
227.5,35.78688049
228,35.79760742
228.5,35.78688049
229,35.78688049
229.5,35.77615356
230,35.75470734
230.5,35.76542664
231,35.74398041
231.5,35.74398041
232,35.72252655
232.5,35.73325348
233,35.72252655
233.5,35.72252655
234,35.72252655
234.5,35.72252655
235,35.71179962
235.5,35.69035339
236,35.69035339
236.5,35.67962646
237,35.69035339
237.5,35.66889954
238,35.66889954
238.5,35.63672638
239,35.64745331
239.5,35.65818024
240,35.63672638
240.5,35.61528015
241,35.59382629
241.5,35.59382629
242,35.56165314
242.5,35.59382629
243,35.56165314
243.5,35.57238007
244,35.55092621
244.5,35.55092621
245,35.52947998
245.5,35.49729919
246,35.4865799
246.5,35.46512604
247,35.45439911
247.5,35.44367218
248,35.41149902
248.5,35.43295288
249,35.40077209
249.5,35.36859894
250,35.34715271
250.5,35.31497192
251,35.31497192
251.5,35.2935257
252,35.26135254
252.5,35.28279877
253,35.20772552
253.5,35.22917175
254,35.1969986
254.5,35.16482544
255,35.16482544
255.5,35.11119843
256,35.08974457
256.5,35.06829834
257,35.04684448
257.5,35.02539825
258,35.0039444
258.5,34.97177124
259,34.93959808
259.5,34.896698
260,34.86451721
260.5,34.81089783
261,34.76799774
261.5,34.75727081
262,34.69291687
262.5,34.65001678
263,34.59638977
263.5,34.55348969
264,34.5105896
264.5,34.47841644
265,34.43551636
265.5,34.37116241
266,34.33898926
266.5,34.27464294
267,34.23174286
267.5,34.18884277
268,34.14594269
268.5,34.07086182
269,34.03868866
269.5,34.0065155
270,33.96361542
270.5,33.89926147
271,33.86708832
271.5,33.80273438
272,33.74910736
272.5,33.72766113
273,33.65258789
273.5,33.6204071
274,33.58823395
274.5,33.53460693
275,33.45953369
275.5,33.41663361
276,33.37373352
276.5,33.33083344
277,33.27720642
277.5,33.25575256
278,33.16995239
278.5,33.13777924
279,33.06270599
279.5,33.01980591
280,32.97690582
280.5,32.91255188
281,32.86965179
281.5,32.80530548
282,32.75167847
282.5,32.70877838
283,32.64442444
283.5,32.59079742
284,32.52645111
284.5,32.46209717
285,32.42992401
285.5,32.36557007
286,32.32266998
286.5,32.23686981
287,32.19396973
287.5,32.15106964
288,32.09744263
288.5,32.03309631
289,31.96874046
289.5,31.92584038
290,31.87221336
290.5,31.80786705
291,31.75424004
291.5,31.66843987
292,31.62553978
292.5,31.59336662
293,31.50756645
293.5,31.46466637
294,31.38958549
294.5,31.33595848
295,31.2823391
295.5,31.21798515
296,31.16435814
296.5,31.11073112
297,31.03565788
297.5,30.96058464
298,30.8962307
298.5,30.86405754
299,30.7997036
299.5,30.75680351
300,30.68173027
300.5,30.60665703
301,30.56375694
301.5,30.52085686
302,30.45650291
302.5,30.4028759
303,30.32780266
303.5,30.28490257
304,30.1991024
304.5,30.15620232
305,30.07040215
305.5,30.03822136
306,29.95242119
306.5,29.9095211
307,29.84517479
307.5,29.812994
308,29.72719383
308.5,29.69502068
309,29.63067436
309.5,29.56632042
310,29.50196648
310.5,29.43762016
311,29.37326622
311.5,29.31964684
312,29.27673912
312.5,29.21239281
313,29.15876579
313.5,29.08369255
314,29.03006554
314.5,28.98716545
315,28.90136528
315.5,28.86919212
316,28.79411125
316.5,28.74048424
317,28.69758415
317.5,28.63323784
318,28.59033775
318.5,28.51526451
319,28.4616375
319.5,28.44018364
320,28.37583733
320.5,28.31148338
321,28.23641014
321.5,28.18278313
322,28.12915611
322.5,28.0648098
323,28.02190971
323.5,27.9682827
324,27.93610191
324.5,27.88248253
325,27.80740166
325.5,27.76450157
326,27.70015526
326.5,27.66797447
327,27.60362816
327.5,27.56072807
328,27.50710106
328.5,27.44275475
329,27.39984703
329.5,27.33550072
330,27.2818737
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
